"","id","sleep_day","total_sleep_records","total_minutes_asleep","total_time_in_bed","hours_in_bed","hours_asleep","time_taken_to_sleep"
"1",1503960366,2020-04-12,1,327,346,5.77,5.45,19
"2",1503960366,2020-04-13,2,384,407,6.78,6.4,23
"3",1503960366,2020-04-15,1,412,442,7.37,6.87,30
"4",1503960366,2020-04-16,2,340,367,6.12,5.67,27
"5",1503960366,2020-04-17,1,700,712,11.87,11.67,12
"6",1503960366,2020-04-19,1,304,320,5.33,5.07,16
"7",1503960366,2020-04-20,1,360,377,6.28,6,17
"8",1503960366,2020-04-21,1,325,364,6.07,5.42,39
"9",1503960366,2020-04-23,1,361,384,6.4,6.02,23
"10",1503960366,2020-04-24,1,430,449,7.48,7.17,19
"11",1503960366,2020-04-25,1,277,323,5.38,4.62,46
"12",1503960366,2020-04-26,1,245,274,4.57,4.08,29
"13",1503960366,2020-04-28,1,366,393,6.55,6.1,27
"14",1503960366,2020-04-29,1,341,354,5.9,5.68,13
"15",1503960366,2020-04-30,1,404,425,7.08,6.73,21
"16",1503960366,2020-05-01,1,369,396,6.6,6.15,27
"17",1503960366,2020-05-02,1,277,309,5.15,4.62,32
"18",1503960366,2020-05-03,1,273,296,4.93,4.55,23
"19",1503960366,2020-05-05,1,247,264,4.4,4.12,17
"20",1503960366,2020-05-06,1,334,367,6.12,5.57,33
"21",1503960366,2020-05-07,1,331,349,5.82,5.52,18
"22",1503960366,2020-05-08,1,594,611,10.18,9.9,17
"23",1503960366,2020-05-09,1,338,342,5.7,5.63,4
"24",1503960366,2020-05-10,1,383,403,6.72,6.38,20
"25",1503960366,2020-05-11,1,285,306,5.1,4.75,21
"26",1644430081,2020-04-29,1,119,127,2.12,1.98,8
"27",1644430081,2020-04-30,1,124,142,2.37,2.07,18
"28",1644430081,2020-05-02,1,796,961,16.02,13.27,165
"29",1644430081,2020-05-08,1,137,154,2.57,2.28,17
"30",1844505072,2020-04-15,1,644,961,16.02,10.73,317
"31",1844505072,2020-04-30,1,722,961,16.02,12.03,239
"32",1844505072,2020-05-01,1,590,961,16.02,9.83,371
"33",1927972279,2020-04-12,3,750,775,12.92,12.5,25
"34",1927972279,2020-04-13,1,398,422,7.03,6.63,24
"35",1927972279,2020-04-15,2,475,499,8.32,7.92,24
"36",1927972279,2020-04-26,1,296,315,5.25,4.93,19
"37",1927972279,2020-04-28,1,166,178,2.97,2.77,12
"38",2026352035,2020-04-12,1,503,546,9.1,8.38,43
"39",2026352035,2020-04-13,1,531,565,9.42,8.85,34
"40",2026352035,2020-04-14,1,545,568,9.47,9.08,23
"41",2026352035,2020-04-15,1,523,573,9.55,8.72,50
"42",2026352035,2020-04-16,1,524,567,9.45,8.73,43
"43",2026352035,2020-04-17,1,437,498,8.3,7.28,61
"44",2026352035,2020-04-19,1,498,540,9,8.3,42
"45",2026352035,2020-04-20,1,461,510,8.5,7.68,49
"46",2026352035,2020-04-21,1,477,514,8.57,7.95,37
"47",2026352035,2020-04-22,1,520,545,9.08,8.67,25
"48",2026352035,2020-04-23,1,522,554,9.23,8.7,32
"49",2026352035,2020-04-24,1,555,591,9.85,9.25,36
"50",2026352035,2020-04-25,1,506,531,8.85,8.43,25
"51",2026352035,2020-04-27,1,508,545,9.08,8.47,37
"52",2026352035,2020-04-28,1,513,545,9.08,8.55,32
"53",2026352035,2020-04-29,1,490,510,8.5,8.17,20
"54",2026352035,2020-04-30,1,573,607,10.12,9.55,34
"55",2026352035,2020-05-01,1,527,546,9.1,8.78,19
"56",2026352035,2020-05-02,1,511,543,9.05,8.52,32
"57",2026352035,2020-05-04,1,538,560,9.33,8.97,22
"58",2026352035,2020-05-05,1,468,485,8.08,7.8,17
"59",2026352035,2020-05-06,1,524,548,9.13,8.73,24
"60",2026352035,2020-05-07,1,511,521,8.68,8.52,10
"61",2026352035,2020-05-08,1,541,568,9.47,9.02,27
"62",2026352035,2020-05-09,1,531,556,9.27,8.85,25
"63",2026352035,2020-05-10,1,357,380,6.33,5.95,23
"64",2026352035,2020-05-11,1,523,553,9.22,8.72,30
"65",2026352035,2020-05-12,1,456,485,8.08,7.6,29
"66",2320127002,2020-04-23,1,61,69,1.15,1.02,8
"67",2347167796,2020-04-13,1,467,531,8.85,7.78,64
"68",2347167796,2020-04-14,1,445,489,8.15,7.42,44
"69",2347167796,2020-04-15,1,452,504,8.4,7.53,52
"70",2347167796,2020-04-17,1,556,602,10.03,9.27,46
"71",2347167796,2020-04-18,1,500,557,9.28,8.33,57
"72",2347167796,2020-04-19,1,465,514,8.57,7.75,49
"73",2347167796,2020-04-21,1,460,484,8.07,7.67,24
"74",2347167796,2020-04-22,1,405,461,7.68,6.75,56
"75",2347167796,2020-04-23,1,374,386,6.43,6.23,12
"76",2347167796,2020-04-24,1,442,459,7.65,7.37,17
"77",2347167796,2020-04-25,1,433,471,7.85,7.22,38
"78",2347167796,2020-04-26,1,436,490,8.17,7.27,54
"79",2347167796,2020-04-27,1,448,499,8.32,7.47,51
"80",2347167796,2020-04-28,1,408,450,7.5,6.8,42
"81",2347167796,2020-04-29,1,411,473,7.88,6.85,62
"82",3977333714,2020-04-12,1,274,469,7.82,4.57,195
"83",3977333714,2020-04-13,2,295,456,7.6,4.92,161
"84",3977333714,2020-04-14,1,291,397,6.62,4.85,106
"85",3977333714,2020-04-15,1,424,556,9.27,7.07,132
"86",3977333714,2020-04-16,1,283,510,8.5,4.72,227
"87",3977333714,2020-04-17,1,381,566,9.43,6.35,185
"88",3977333714,2020-04-18,2,412,522,8.7,6.87,110
"89",3977333714,2020-04-19,1,219,395,6.58,3.65,176
